Probability,Conditional Probability,Weight Of Evidence,Order,class,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77
0.158267,0.315957,0.625322,2,2,,,,,,,,,,,,,,,,,,,,,,,,0.000112,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.122691,0.278396,0.624251,2,1,,,,,,,,0.000124,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.122691,0.278396,0.624251,2,1,,,,,,,,0.000124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,
0.080274,0.315695,0.624109,2,2,,2.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2e-005
0.098632,0.278314,0.623844,2,1,,,,,,,,,,,,,-5e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.060319,0.315632,0.623819,2,2,,,8.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.056899,0.149625,0.623360,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,-8.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129076,0.315408,0.622781,2,2,,,,,,,,,,,,,,,,,,,,,,,,0.000112,,,,,,,,,,,,,,,,,,,,0.000298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.064766,0.315380,0.622652,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,721,,,,,,,,,,,,,
0.111973,0.277872,0.621642,2,1,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004447,0.565217,0.621006,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,130000
0.089168,0.565029,0.620239,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,27.4,,,,,,,,,,,
0.089168,0.565029,0.620239,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,,378,,,,,
0.107184,0.277450,0.619537,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.107184,0.277450,0.619537,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,
0.121323,0.277445,0.619511,2,1,,,,,,,0.000106,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.121323,0.277445,0.619511,2,1,,,,,,,0.000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.115507,0.277382,0.619200,2,1,,,,,,8.6e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,
0.094185,0.277367,0.619125,2,1,,,,0.000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000649,,,,,,,,,,,,,,,,,,,,,,,,,,
0.057013,0.149076,0.619035,2,3,,,,,,,,,,0.00773,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.057013,0.149076,0.619035,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,0.00773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090080,0.564689,0.618856,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,383,,,,,,,
0.054162,0.277291,0.618746,2,1,0.000137,,,,,,,,,,,,,,,,,,,,,8.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.105815,0.277263,0.618606,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000649,,,,,,,,39.6,,,,,,,,,,,,,,,,,,
0.089624,0.277151,0.618045,2,1,,,,0.000154,,,,,,0.00773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.089624,0.277151,0.618045,2,1,,,,0.000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.088027,0.277000,0.617294,2,1,,,,,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.087913,0.276940,0.616991,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,0.0563,,,,,,,,,,,,,,,
0.110832,0.276844,0.616514,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,,,,,,,,,
0.114139,0.276672,0.615654,2,1,,,,,,8.6e-005,,,,0.00773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.114139,0.276672,0.615654,2,1,,,,,,8.6e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.118358,0.276652,0.615556,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,0.000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.227024,0.563863,0.615496,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,
0.062258,0.148612,0.615374,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.062258,0.148612,0.615374,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,
0.074914,0.313754,0.615107,2,2,,,,,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,0.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.226340,0.563760,0.615079,2,7,,,,,,,,,,,,,-5e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,,,,,,,,,,,,
0.226340,0.563760,0.615079,2,7,,,,,,,,,,,,,-5e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,
0.106842,0.276401,0.614300,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.104903,0.276359,0.614090,2,1,,,,,,,,,,,,,,,,,,,,,0.000262,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.091790,0.313474,0.613806,2,2,,,,0.000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,
0.101596,0.276193,0.613261,2,1,,,,,,,,,,,,,,,,3e-006,,,,,,,,,,,,,,,,,,,,,,,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.118700,0.563312,0.613255,2,7,,,,,,,,,,,,,,,,,4e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.106157,0.276179,0.613190,2,1,,,,,,,,,0.000153,,,,-5e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.117674,0.276157,0.613080,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,
0.092132,0.313300,0.612999,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,
0.071722,0.563115,0.612457,2,7,,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000649,,,,,,,,,,,,,,,,,,,,,,,,,,
0.114823,0.275890,0.611745,2,1,,,,,,,0.000106,,,,,,,,,3e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.076625,0.275862,0.611603,2,1,,,,,,,,,,,,,,,,3e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2e-005
0.081186,0.562846,0.611361,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983,,,,,,,,,,,,,,,,,,,,,,,,,0.000581,,,,,,,,,,,,,,,,,,,,
0.056556,0.148104,0.611354,2,3,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.056556,0.148104,0.611354,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.016762,0.275797,0.611279,2,1,,,,,,,,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,
0.121779,0.275684,0.610711,2,1,,,,,,,0.000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,,,,,,,,,
0.051425,0.312760,0.610489,2,2,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.123261,0.275625,0.610414,2,1,,,,,,,0.000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.093843,0.562543,0.610129,2,7,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.065450,0.312636,0.609913,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,21.3,,
0.114139,0.275454,0.609559,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000581,39.6,,,,,,,,,,,,,,,,,,,
0.067845,0.562382,0.609476,2,7,,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.106385,0.275302,0.608800,2,1,,,,,,,,,,,,,,,,,,,,,0.000262,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.111973,0.275224,0.608407,2,1,,,,,,,,,,,,,,,,,,4.3e-005,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090536,0.275217,0.608369,2,1,,,,,,,,,,,,,-5e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.063854,0.147718,0.608294,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.063854,0.147718,0.608294,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,
0.141163,0.312153,0.607665,2,2,,,,,,,,,,,,,,,,,,,0.00011,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.105017,0.275007,0.607320,2,1,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.105017,0.275007,0.607320,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.057013,0.147493,0.606500,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.102166,0.274678,0.605668,2,1,,,,0.000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000184,,,,,,,,,,,,,,,,,,,,,,,
0.117218,0.274646,0.605507,2,1,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.247092,0.561254,0.604893,2,7,,2.7e-005,,,,,,,,,,,,,,,,,,,,,8.6e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.212201,0.561218,0.604750,2,7,,,,,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,,,,,,,,,,,,
0.212201,0.561218,0.604750,2,7,,,,,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,
0.016762,0.311441,0.604344,2,2,2.5e-005,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119384,0.561093,0.604242,2,7,,,,,,,,,,,,,,,,,4e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,
0.137400,0.311370,0.604012,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000298,,,0.000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.229076,0.561016,0.603930,2,7,,,,,,,,,,,,,-5e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,,,,,,,
0.152566,0.311308,0.603723,2,2,,,,,,,,,,,,,,,,,,,,,,,,0.000112,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.083010,0.274096,0.602746,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.147206,0.311084,0.602681,2,2,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.147206,0.311084,0.602681,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.062144,0.560700,0.602643,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0632,,,,,,,,,,,,,,,,
0.060661,0.146961,0.602269,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,-8.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.137628,0.310602,0.600430,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000298,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,
0.158837,0.310522,0.600054,2,2,,,,,,,,,,,,,,,,,,,,,,,8.6e-005,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.057355,0.146604,0.599419,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,
0.107412,0.273281,0.598645,2,1,,,,,,,,,,,,,,,,3e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0632,,,,,,,,,,,,,,,,
0.108096,0.273278,0.598627,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,1.02,,,,
0.094641,0.559676,0.598490,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,6.35,,,,,,,,,,,,
0.094641,0.559676,0.598490,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,378,,,,,
0.133181,0.310143,0.598287,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.060775,0.146429,0.598012,2,3,,,,,,,,,,0.00773,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.060775,0.146429,0.598012,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,0.00773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.123375,0.273094,0.597704,2,1,,,,,,,,0.000124,,,,,,,,,,,,,,,,0.000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.116306,0.273092,0.597694,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000581,,39.6,,,,,,,,,,,,,,,,,,
0.051881,0.309945,0.597362,2,2,,,,,,,,,,,-2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,
0.118472,0.272990,0.597179,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,
0.124059,0.309883,0.597071,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,,,,,,,,,
0.062372,0.559305,0.596982,2,7,,,,3.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,
0.002509,0.309859,0.596958,2,2,,,,,,,0.000513,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.121551,0.559286,0.596908,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000101,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,
0.112657,0.272928,0.596867,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,-8.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.248005,0.559270,0.596840,2,7,,2.7e-005,,,,,,,,,,,,,,,,,,,,,,0.000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.128164,0.309813,0.596740,2,2,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.128164,0.309813,0.596740,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.127594,0.309801,0.596685,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000298,,,,,,,,7.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,
0.094869,0.272876,0.596606,2,1,,,,,,,,,0.000153,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.102509,0.272755,0.595993,2,1,,,,0.000154,,,,,,,,,,,0.000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.061916,0.146164,0.595896,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,-8.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.130103,0.309550,0.595511,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,0.000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.118700,0.272513,0.594774,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,0.000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.117332,0.272511,0.594762,2,1,,,,,,,,,,,,,,,,,,4.3e-005,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.214823,0.558719,0.594606,2,7,,,,,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,,,,,,,
0.087913,0.272438,0.594396,2,1,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0563,,,,,,,,,,,,,,,
0.151995,0.309066,0.593245,2,2,,,,,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.147548,0.309052,0.593180,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.060319,0.145810,0.593058,2,3,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.060319,0.145810,0.593058,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.123261,0.272087,0.592622,2,1,,,,,,,0.000106,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.123261,0.272087,0.592622,2,1,,,,,,,0.000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,
0.096351,0.558124,0.592194,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,383,,,,,,,
0.070924,0.308838,0.592179,2,2,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0563,,,,,,,,,,,,,,,
0.094983,0.271956,0.591960,2,1,,,,,,,,,,,,,,,,3e-006,,,,,0.000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.122805,0.558031,0.591817,2,7,,,3.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.098860,0.557915,0.591346,2,7,,,,,,,,,,,,,,,,,,,1.8e-005,,,,,0.000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.112201,0.271823,0.591292,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,,,,,,,,,
0.080730,0.308631,0.591210,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,,,,,,,,,1.02,,,,
0.088483,0.557471,0.589547,2,7,,,,,,,,,,,,,,,,,4e-006,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.088483,0.557471,0.589547,2,7,,,,,,,,,,,,,,,,,4e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,
0.131357,0.308269,0.589510,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,
